# Developed by  NerWann module of the Wannier90 code.
# Total Transport distribution function (in SI units of m^2*C^3/S^3) vs energy in eV
# Content of the columns:
# Energy xxz xyz yyz xzz yzz zzz yxz zxz zyz
#   (if spin decomposition is required, 18 further columns are provided, with the 9
#    components of the TDFtot for the spin up, followed by those for the spin down)
  -4.616851084      0.3575314924E+23  0.7712802961E+27 -0.3941760339E+23 -0.6396412235E+25 -0.6258149599E+24  0.1035745201E+22 -0.7712689038E+27  0.6383480445E+25  0.6562575734E+24
  -4.615851084     -0.2395757926E+23  0.8048084398E+27  0.1809476490E+23 -0.6666540237E+25 -0.6475152509E+24  0.3763482617E+22 -0.8047723625E+27  0.6626624729E+25  0.6581881093E+24
  -4.614851084     -0.6415326353E+23  0.8395754581E+27  0.5767068355E+23 -0.6945623626E+25 -0.6652519666E+24 -0.7101677349E+21 -0.8395993279E+27  0.6948146633E+25  0.6729460375E+24
  -4.613851084     -0.1408769471E+23  0.8758979905E+27  0.1855096798E+23 -0.7234824517E+25 -0.6900987644E+24 -0.1573893631E+22 -0.8759060307E+27  0.7271612137E+25  0.6556596970E+24
  -4.612851084     -0.3325692252E+20  0.9138133054E+27  0.9429046178E+22 -0.7532091566E+25 -0.7169190083E+24 -0.5080099227E+22 -0.9137714680E+27  0.7572315032E+25  0.7070808031E+24
  -4.611851084      0.9742127329E+22  0.9531736987E+27  0.4666777317E+22 -0.7841987371E+25 -0.7364025980E+24 -0.2240987062E+21 -0.9532328364E+27  0.7826422759E+25  0.8022900156E+24
  -4.610851084      0.5970605785E+23  0.9941938748E+27 -0.7468692070E+23 -0.8163519663E+25 -0.7578930267E+24  0.4953510420E+22 -0.9941516273E+27  0.8123018544E+25  0.7620257926E+24
  -4.609851084      0.2345301861E+23  0.1036893120E+28 -0.1657187480E+23 -0.8508628810E+25 -0.7857594853E+24  0.3485177595E+22 -0.1036888783E+28  0.8466055437E+25  0.7531202134E+24
  -4.608851084     -0.6219127374E+22  0.1081537361E+28  0.3187730546E+22 -0.8863223136E+25 -0.8029057900E+24  0.1863793021E+22 -0.1081517484E+28  0.8864457223E+25  0.8298650332E+24
  -4.607851084     -0.7070768587E+23  0.1127762638E+28  0.5303135728E+23 -0.9231389589E+25 -0.8325044397E+24 -0.1974975836E+22 -0.1127697198E+28  0.9249108776E+25  0.8259202817E+24
  -4.606851084     -0.6268712656E+23  0.1175904976E+28  0.7252537839E+23 -0.9611606091E+25 -0.8624862574E+24 -0.5015600365E+22 -0.1175896731E+28  0.9665713373E+25  0.8284973101E+24
  -4.605851084      0.4934410475E+23  0.1226036265E+28 -0.3717281278E+23 -0.1000098623E+26 -0.8968210863E+24  0.8470045892E+21 -0.1226112144E+28  0.9991273082E+25  0.9057778390E+24
  -4.604851084      0.6459240885E+23  0.1278389929E+28 -0.5315535816E+23 -0.1041199299E+26 -0.9209331794E+24  0.4580248760E+21 -0.1278343041E+28  0.1038368655E+26  0.9402613383E+24
  -4.603851084      0.2830706402E+23  0.1332786865E+28 -0.2364775301E+23 -0.1084008778E+26 -0.9482131701E+24  0.2333293628E+22 -0.1332791416E+28  0.1080681555E+26  0.9636233156E+24
  -4.602851084      0.1330545412E+23  0.1389457294E+28 -0.2373595237E+23 -0.1129222054E+26 -0.9791440788E+24  0.1864608925E+22 -0.1389447640E+28  0.1129021163E+26  0.9741746546E+24
  -4.601851084     -0.3722268002E+23  0.1448438913E+28  0.2106535839E+23 -0.1176146916E+26 -0.1012814547E+25 -0.8368069191E+21 -0.1448439003E+28  0.1177962328E+26  0.1012154107E+25
  -4.600851084     -0.4388007450E+23  0.1509698953E+28  0.5814266146E+23 -0.1224444879E+26 -0.1044732891E+25 -0.1188008739E+21 -0.1509738548E+28  0.1224368467E+26  0.1008560100E+25
  -4.599851084     -0.3189480234E+23  0.1573554962E+28  0.4543117232E+23 -0.1274314245E+26 -0.1085686400E+25 -0.6103127190E+22 -0.1573529673E+28  0.1280928129E+26  0.1092430157E+25
  -4.598851084      0.9359209057E+22  0.1640088399E+28 -0.1261036115E+22 -0.1326061747E+26 -0.1122713898E+25 -0.4154987766E+22 -0.1640127366E+28  0.1329515797E+26  0.1147730947E+25
  -4.597851084      0.1161663382E+24  0.1709239652E+28 -0.1145626774E+24 -0.1380154408E+26 -0.1159229754E+25  0.4298665133E+22 -0.1709184412E+28  0.1377057464E+26  0.1162283654E+25
  -4.596851084      0.5411052368E+23  0.1781347463E+28 -0.5496724334E+23 -0.1436640645E+26 -0.1195874016E+25  0.1696839959E+22 -0.1781470496E+28  0.1430940020E+26  0.1232997098E+25
  -4.595851084     -0.5510995899E+23  0.1856341689E+28  0.4773905173E+23 -0.1496146221E+26 -0.1232825185E+25  0.1220355463E+22 -0.1856276470E+28  0.1495464549E+26  0.1251516276E+25
  -4.594851084     -0.4211844276E+23  0.1934403975E+28  0.4136790330E+23 -0.1557807762E+26 -0.1275727085E+25 -0.4736270008E+21 -0.1934263383E+28  0.1561627521E+26  0.1231789839E+25
  -4.593851084     -0.3134937086E+23  0.2015470859E+28  0.1492174271E+23 -0.1621393990E+26 -0.1317302709E+25 -0.1473434314E+22 -0.2015597229E+28  0.1622479894E+26  0.1304238578E+25
  -4.592851084      0.1259994339E+23  0.2100006309E+28 -0.1561844318E+22 -0.1686893678E+26 -0.1370053882E+25 -0.3909018687E+22 -0.2100019115E+28  0.1690401275E+26  0.1349030912E+25
  -4.591851084     -0.5324997248E+22  0.2187894603E+28  0.3418893278E+23 -0.1755373651E+26 -0.1419261204E+25 -0.6554683453E+22 -0.2187864593E+28  0.1758735606E+26  0.1453846998E+25
  -4.590851084      0.6053247496E+23  0.2279343977E+28 -0.4580828735E+23 -0.1826727104E+26 -0.1462152343E+25  0.9835999979E+21 -0.2279378197E+28  0.1824547430E+26  0.1479868747E+25
  -4.589851084      0.7304486125E+23  0.2374778017E+28 -0.8392563929E+23 -0.1901596127E+26 -0.1508999675E+25  0.5179671728E+22 -0.2374731170E+28  0.1899133346E+26  0.1477571585E+25
  -4.588851084      0.2492875901E+23  0.2473839069E+28 -0.3080211637E+23 -0.1979504949E+26 -0.1560829650E+25  0.2260184564E+22 -0.2473755642E+28  0.1974764810E+26  0.1593646305E+25
  -4.587851084     -0.1237314632E+24  0.2576903698E+28  0.1031901641E+24 -0.2060550335E+26 -0.1608466132E+25 -0.6901577444E+21 -0.2576984387E+28  0.2059714302E+26  0.1625373226E+25
  -4.586851084     -0.4385977046E+23  0.2684228781E+28  0.4624541352E+23 -0.2144363463E+26 -0.1669777829E+25  0.1364430133E+22 -0.2684266531E+28  0.2147612347E+26  0.1574846948E+25
